employee_id,first_name,last_name,gender,pronouns,age,birth_date,department,business_unit,job_level,job_title,location,manager_id,base_salary,bonus_eligible,bonus_pct,equity_grant,equity_pct,employment_type,employment_status,hire_date,termination_date,ethnicity,marital_status,education_level,pay_frequency,veteran_status,disability_status,cost_center,fte,exemption_status,high_potential_flag,succession_plan_status,aihr_certified,training_count,last_training_date,promotion_count,last_promotion_date,snapshot_date,tenure_months,performance_rating,current_salary,engagement_score,risk_of_exit_score
1,Casey,Garcia,Female,he/him,35,1985-10-30,Customer Success,Commercial,1,Senior Analyst,"Seattle, WA",,77073,False,0.0,True,0.0993,Full-time,Active,2020-10-30,,White,Single,High School,Monthly,False,False,CC1015,1.0,Non-exempt,True,In plan,False,2,2021-03-30,0,,2021-04-30,6,2.91,77073,56.00283771904843,0.37388369546878497
2,Jamie,Jones,Male,he/him,34,1985-10-30,Sales,Commercial,1,Senior Analyst,"Seattle, WA",,95981,True,0.068,True,0.0131,Contractor,Active,2019-10-30,,Black,Married,Bachelor,Monthly,False,False,CC1017,0.8,Non-exempt,False,Not in plan,False,2,2020-05-30,0,,2021-04-30,18,2.74,99836,56.61805303518458,0.4494454404250014
3,Morgan,Johnson,Female,she/her,34,1986-09-30,Sales,Commercial,1,Director,"San Francisco, CA",,93771,False,0.0,True,0.0279,Full-time,Active,2020-09-30,,White,Married,Bachelor,Monthly,False,False,CC1006,1.0,Non-exempt,False,Not in plan,False,1,2021-04-30,0,,2021-04-30,7,3.52,93771,63.4998330304647,0.3771568460332749
4,Cameron,Jones,Female,she/her,33,1986-06-30,Engineering,Tech,3,Analyst,"Seattle, WA",,132042,True,0.088,True,0.074,Full-time,Terminated,2019-06-30,2022-02-28,Asian,Single,Master,Monthly,False,False,CC1003,0.5,Exempt,False,Not in plan,False,1,2020-01-30,0,,2021-04-30,22,3.53,137932,78.60129255357727,0.16130016742984002
5,Riley,Johnson,Female,he/him,33,1986-10-30,Engineering,Tech,2,Senior Director,"Austin, TX",,108535,False,0.0,False,0.0,Full-time,Terminated,2019-10-30,2023-05-30,Hispanic,Single,Bachelor,Monthly,False,False,CC1006,1.0,Exempt,False,Not in plan,False,1,2020-06-30,0,,2021-04-30,18,3.22,113656,65.99725748404325,0.3189042527747014
6,Riley,Garcia,Female,he/him,33,1987-02-28,Sales,Commercial,1,Analyst,"New York, NY",,74938,False,0.0,True,0.013,Full-time,Active,2020-02-29,,White,Married,Bachelor,Monthly,False,False,CC1003,1.0,Non-exempt,False,Not in plan,False,3,2020-03-29,0,,2021-04-30,14,3.53,76939,72.724029622694,0.2989003140449905
7,Riley,Williams,Female,she/her,34,1986-08-30,Engineering,Tech,2,Senior Manager,Remote,,115613,False,0.0,True,0.0854,Full-time,Active,2020-08-30,,White,Single,Bachelor,Monthly,False,False,CC1015,0.8,Exempt,False,Not in plan,False,0,,0,,2021-04-30,8,2.97,115613,55.199041160792795,0.5069906168660102
8,Morgan,Jones,Female,he/him,40,1980-01-30,Product,Tech,3,Senior Director,"Seattle, WA",,98286,False,0.0,True,0.0245,Part-time,Active,2020-01-30,,White,Single,Associate,Monthly,False,True,CC1013,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,15,3.4,102358,63.70933352310521,0.3824717013224185
9,Casey,Smith,Female,he/him,43,1978-04-30,Customer Success,Commercial,1,Senior Manager,"Austin, TX",,64858,False,0.0,True,0.0631,Contractor,Active,2021-04-30,,White,Divorced,Bachelor,Monthly,False,False,CC1014,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,0,3.57,64858,71.3462028024451,0.22027537029032207
10,Alex,Smith,Non-binary,he/him,38,1983-02-28,Customer Success,Commercial,4,Director,"Austin, TX",,67557,False,0.0,False,0.0,Part-time,Active,2021-02-28,,Black,Single,Master,Monthly,False,False,CC1009,0.5,Exempt,False,Not in plan,False,0,,0,,2021-04-30,2,2.79,67557,56.3768696933934,0.40417817849069115
